series number,product type,model,repair operation number,previous repair operation number,time since previous repair,censored,age after repair,repair center,Component A,Component B,Component C,Component D,Component E,Component F,Component H,Component I,Component J,Component K,next_failure_time,next_failure_time_censored
sn_000366,product B,V1E1,po_001079,MFG,1653,0,1653,center_0,0,1,0,0,1,1,0,0,0,0,1504,0
sn_000366,product B,V1E2,po_001080,po_001079,1504,0,3157,center_2,0,0,0,0,1,1,0,0,0,0,147,1
sn_000366,product B,V1E3,po_001081,po_001080,147,1,3304,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000367,product B,V1E1,po_001082,MFG,3312,1,3312,center_0,0,0,0,0,0,0,0,0,0,0,,
sn_000368,product B,V1E1,po_001083,MFG,3311,1,3311,center_0,0,0,0,0,0,0,0,0,0,0,,
sn_000369,product B,V1E1,po_001084,MFG,1032,0,1032,center_0,0,0,0,0,1,0,0,0,0,0,2275,1
sn_000369,product B,V1E2,po_001085,po_001084,2275,1,3307,center_1,0,0,0,0,0,0,0,0,0,0,,
sn_000370,product B,V1E1,po_001086,MFG,3291,1,3291,center_0,0,0,0,0,0,0,0,0,0,0,,
sn_000371,product B,V1E2,po_001087,po_001089,1574,0,1574,center_1,0,0,0,0,1,0,0,0,0,0,1366,0
sn_000371,product B,V1E1,po_001088,MFG,1366,0,2940,center_0,0,0,0,0,1,0,0,0,0,0,169,0
sn_000371,product B,V1E2,po_001089,po_001088,169,0,3109,center_1,0,1,0,0,0,0,1,0,0,0,1766,1
sn_000371,product B,V1E2,po_001090,po_001089,1766,1,4875,center_1,0,0,0,0,0,0,0,0,0,0,,
sn_000372,product B,V1E1,po_001091,MFG,811,0,811,center_0,0,0,0,0,1,0,1,0,0,0,104,0
sn_000372,product B,V1E2,po_001092,po_001091,104,0,915,center_2,1,0,0,0,0,0,0,0,0,0,1427,0
sn_000372,product B,V1E2,po_001093,po_001092,1427,0,2342,center_2,0,0,0,0,1,1,0,0,0,0,927,1
sn_000372,product B,V1E2,po_001094,po_001093,927,1,3269,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000373,product B,V1E1,po_001095,MFG,1205,0,1205,center_0,0,0,0,0,0,0,0,0,0,1,1312,0
sn_000373,product B,V1E1,po_001096,po_001095,1312,0,2517,center_2,0,0,0,0,1,1,0,0,0,0,776,1
sn_000373,product B,V1E3,po_001097,po_001096,776,1,3293,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000374,product B,V1E1,po_001098,po_001101,1010,0,1010,center_1,0,0,0,0,1,0,0,0,0,0,287,0
sn_000374,product B,V1E3,po_001099,po_001098,287,0,1297,center_2,0,0,0,0,0,1,0,0,0,0,1099,0
sn_000374,product B,V1E1,po_001100,MFG,1099,0,2396,center_0,0,0,0,0,0,1,0,0,0,0,422,0
sn_000374,product B,V1E1,po_001101,po_001100,422,0,2818,center_1,0,0,0,0,1,1,0,0,0,0,1785,1
sn_000374,product B,V1E2,po_001102,po_001101,1785,1,4603,center_1,0,0,0,0,0,0,0,0,0,0,,
sn_000375,product B,V1E2,po_001103,po_001104,1462,0,1462,center_1,0,1,0,0,1,0,0,0,0,0,1275,0
sn_000375,product B,V1E1,po_001104,MFG,1275,0,2737,center_0,0,0,0,0,1,0,0,0,0,0,2030,1
